image,split,problem_type,annotated_class,suggested_class,box,confidence,evidence
02-PAN-20250405-013-430-L00000001339-CCD26_4_crop3.jpg,train,mislabel,LQS,HM,"[455.0, 239.0, 527.0, 524.0]",high,可见尺度明显更大的全通飞行甲板和复杂舰岛/跑道式标线，更符合 HM 航母。
W117.1_N32.6_20180715_L1A0003325477-PAN26_crop1.jpg,train,mislabel,LQS,MS,"[142.0, 375.0, 440.0, 530.0]",high,可见货运甲板/装卸结构和集中上层建筑，未见全通甲板或军舰装备，符合 MS 民船。
W117.1_N32.6_20180715_L1A0003325477-PAN26_crop1.jpg,train,mislabel,LQS,MS,"[218.0, 660.0, 512.0, 789.0]",high,与 SHIP-09 同源同目标，甲板呈货运布局而非两栖舰连续飞行甲板，符合 MS 民船。
W117.1_N32.6_20180715_L1A0003325477-PAN28_crop1.jpg,train,mislabel,LQS,MS,"[107.0, 442.0, 391.0, 578.0]",high,同源目标具有货舱/装卸结构，无直升机甲板或军舰武器特征，符合 MS 民船。
E128.0_N26.3_20180531_L1A0003228719-PAN20_crop1.jpg,train,mislabel,QHS,MS,"[306.0, 366.0, 374.0, 566.0]",high,可见民用作业/货运船式甲板和上层结构，未见军舰装备，符合 MS 民船。
02-PAN-20250321-455-304-L00000000227-CCD7_2_crop2.jpg,train,mislabel,QHS,MS,"[643.0, 659.0, 730.0, 855.0]",high,可见民用工程/作业船式甲板布局，无明确雷达或武器特征，符合 MS 民船。
fsc_AGZ-N42.80-E141.65-lv20-Google_crop0001.jpg,train,miss,,FSC,"[274.9, 831.0, 323.6, 883.2]",high,原图为成组部署的军用车辆场地，候选为独立的长车体且与现有框不重叠，符合未标注发射车。
fsc_TG-N24.21-E120.59-lv20-Google_crop0001.jpg,train,miss,,FSC,"[865.8, 544.9, 899.8, 585.4]",high,原图林地道路中存在与周边独立部署车辆一致的长车体，符合未标注的军用发射车辆。
fsc_AGZ-N42.80-E141.65-lv20-Google_crop0001.jpg,train,miss,,FSC,"[58.4, 386.7, 103.6, 432.2]",high,与 FSC-03 同源军用车辆部署区，候选为另一独立车体且不与既有标注重叠。
MAR20_3662.jpg,val,miss,,KC-135,"[173.6, 160.3, 295.4, 278.4]",high,大型四发喷气式飞机，外形与KC-135加油机高度吻合（翼下吊舱、T型尾翼、机身细长），模型置信度0.94，无对应标注
E103.9_N1.2_20200419_L1A0004749016-PAN26_crop6.jpg,val,miss,,MS,"[440.0, 577.3, 553.4, 636.2]",high,民用船舶（上层建筑集中尾部、无武装），模型置信度0.90，无对应标注
W76.3_N37.0_20150318_L1A0000704021-PAN20_crop1.jpg,val,mislabel,QHS,MS,"[133.2, 475.8, 287.9, 752.5]",high,标注为驱护舰，实为散货/驳船类民船（矩形舱口网格、无武器、船首钝圆），模型置信度0.95
01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.jpg,train,miss,,MS,"[35.4, 646.9, 61.8, 749.3]",candidate,模型以置信度 0.9199 检出 MS 目标但无标注，疑似漏标
01-PAN-20250407-456-303-L00000100049-CCD6_6_crop1.jpg,train,miss,,MS,"[247.1, 11.4, 419.7, 78.2]",candidate,模型以置信度 0.886 检出 MS 目标但无标注，疑似漏标
fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,train,miss,,FSC,"[313.6, 352.7, 344.4, 389.5]",candidate,模型以置信度 0.885 检出 FSC 目标但无标注，疑似漏标
01-PAN-20250407-456-301-L00000100047-CCD1_5_crop5.jpg,train,miss,,MS,"[381.0, 293.5, 531.0, 356.6]",candidate,模型以置信度 0.8775 检出 MS 目标但无标注，疑似漏标
01-PAN-20250328-462-375-L00000101102-CCD20_1_crop3.jpg,train,miss,,MS,"[463.2, 291.8, 808.4, 570.4]",candidate,模型以置信度 0.8636 检出 MS 目标但无标注，疑似漏标
01-PAN-20240424-146-260-L00000010815-CCD32_3_crop1.jpg,train,mislabel,MS,QHS,"[165.1, 120.0, 261.0, 330.8]",candidate,标注为 MS，模型预测 QHS（置信度 0.8588），疑似错标
fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,train,miss,,FSC,"[167.1, 460.5, 199.2, 495.5]",candidate,模型以置信度 0.8457 检出 FSC 目标但无标注，疑似漏标
01-PAN-20250328-462-375-L00000101102-CCD20_1_crop3.jpg,train,miss,,MS,"[139.3, 573.0, 481.4, 852.0]",candidate,模型以置信度 0.837 检出 MS 目标但无标注，疑似漏标
02-PAN-20250403-466-364-L00000001478-CCD18_3_crop2.jpg,train,miss,,MS,"[776.0, 186.8, 821.0, 325.8]",candidate,模型以置信度 0.8214 检出 MS 目标但无标注，疑似漏标
fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,train,miss,,FSC,"[871.2, 179.2, 900.0, 222.9]",candidate,模型以置信度 0.8079 检出 FSC 目标但无标注，疑似漏标
01-PAN-20250210-441-302-L00000100998-CCD24_1_crop4.jpg,train,miss,,MS,"[566.8, 0.0, 654.3, 119.9]",candidate,模型以置信度 0.8078 检出 MS 目标但无标注，疑似漏标
01-PAN-20250404-320-230-L00000098919-CCD6_4_crop3.jpg,train,miss,,MS,"[0.0, 0.0, 84.7, 61.7]",candidate,模型以置信度 0.8019 检出 MS 目标但无标注，疑似漏标
01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.jpg,train,miss,,MS,"[0.0, 657.6, 18.0, 767.2]",candidate,模型以置信度 0.7756 检出 MS 目标但无标注，疑似漏标
fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,train,miss,,FSC,"[129.9, 427.2, 163.3, 455.8]",candidate,模型以置信度 0.7614 检出 FSC 目标但无标注，疑似漏标
02-PAN-20250321-455-304-L00000000227-CCD15_4_crop1.jpg,train,miss,,MS,"[757.5, 482.4, 855.4, 849.6]",candidate,模型以置信度 0.7546 检出 MS 目标但无标注，疑似漏标
E139.7_N35.3_20170121_L1A0002135991-PAN12_crop2.jpg,train,mislabel,MS,QHS,"[130.4, 0.1, 320.2, 147.7]",candidate,标注为 MS，模型预测 QHS（置信度 0.692），疑似错标
E139.6_N35.3_20170312_L1A0002233573-PAN11_crop5.jpg,train,miss,,QHS,"[145.8, 323.4, 231.5, 348.4]",candidate,模型以置信度 0.6833 检出 QHS 目标但无标注，疑似漏标
01-PAN-20240514-449-309-L00000012646-CCD13_2_crop2.jpg,train,miss,,MS,"[149.4, 738.4, 430.5, 860.8]",candidate,模型以置信度 0.6828 检出 MS 目标但无标注，疑似漏标
E139.7_N35.3_20170121_L1A0002135991-PAN12_crop8.jpg,train,miss,,MS,"[0.0, 682.0, 25.4, 771.7]",candidate,模型以置信度 0.6802 检出 MS 目标但无标注，疑似漏标
fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,train,miss,,FSC,"[19.9, 689.6, 44.0, 731.2]",candidate,模型以置信度 0.674 检出 FSC 目标但无标注，疑似漏标
02-PAN-20250405-013-428-L00000001337-CCD29_1_crop9.jpg,train,miss,,MS,"[444.8, 91.0, 516.5, 131.5]",candidate,模型以置信度 0.6663 检出 MS 目标但无标注，疑似漏标
01-PAN-20250328-462-375-L00000101102-CCD19_1_crop1.jpg,train,miss,,QHS,"[573.5, 14.6, 739.8, 208.4]",candidate,模型以置信度 0.615 检出 QHS 目标但无标注，疑似漏标
02-PAN-20250403-149-295-L00000001224-CCD16_3_crop4.jpg,train,miss,,MS,"[404.2, 199.1, 575.0, 343.7]",candidate,模型以置信度 0.6077 检出 MS 目标但无标注，疑似漏标
E139.7_N35.2_20150922_L1A0001053752-PAN23_crop1.jpg,train,miss,,QHS,"[0.1, 65.5, 27.2, 202.6]",candidate,模型以置信度 0.5817 检出 QHS 目标但无标注，疑似漏标
E139.6_N35.3_20170122_L1A0002138611-PAN11_crop1.jpg,train,miss,,QHS,"[527.1, 749.8, 714.6, 813.0]",candidate,模型以置信度 0.5729 检出 QHS 目标但无标注，疑似漏标
02-PAN-20250321-455-302-L00000000225-CCD3_2_crop3.jpg,train,miss,,MS,"[593.1, 0.0, 733.2, 69.0]",candidate,模型以置信度 0.5706 检出 MS 目标但无标注，疑似漏标
E139.6_N35.3_20170122_L1A0002138611-PAN11_crop5.jpg,train,miss,,QHS,"[838.5, 496.0, 856.0, 620.0]",candidate,模型以置信度 0.5692 检出 QHS 目标但无标注，疑似漏标
02-PAN-20250403-149-295-L00000001224-CCD16_3_crop2.jpg,train,miss,,MS,"[0.5, 713.6, 143.1, 788.5]",candidate,模型以置信度 0.5482 检出 MS 目标但无标注，疑似漏标
02-PAN-20250321-455-304-L00000000227-CCD8_2_crop8.jpg,train,miss,,MS,"[143.9, 0.0, 326.7, 47.1]",candidate,模型以置信度 0.5474 检出 MS 目标但无标注，疑似漏标
fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,train,miss,,FSC,"[2.5, 638.6, 38.1, 662.3]",candidate,模型以置信度 0.5407 检出 FSC 目标但无标注，疑似漏标
01-PAN-20250405-061-362-L00000099505-CCD22_2_crop2.jpg,train,miss,,MS,"[190.1, 773.3, 293.7, 826.8]",candidate,模型以置信度 0.5077 检出 MS 目标但无标注，疑似漏标
02-PAN-20250330-461-284-L00000000744-CCD23_4_crop4.jpg,train,miss,,MS,"[0.0, 339.6, 53.0, 458.5]",candidate,模型以置信度 0.5044 检出 MS 目标但无标注，疑似漏标
01-PAN-20240515-001-331-L00000012635-CCD19_3_crop3.jpg,train,miss,,MS,"[0.0, 200.2, 42.1, 311.8]",candidate,模型以置信度 0.4996 检出 MS 目标但无标注，疑似漏标
01-PAN-20250407-456-304-L00000100050-CCD14_4_crop3.jpg,train,miss,,MS,"[0.1, 503.4, 43.1, 543.0]",candidate,模型以置信度 0.4968 检出 MS 目标但无标注，疑似漏标
01-PAN-20250407-456-304-L00000100050-CCD6_1_crop2.jpg,train,miss,,MS,"[31.6, 0.0, 159.1, 42.6]",candidate,模型以置信度 0.476 检出 MS 目标但无标注，疑似漏标
01-PAN-20240513-456-301-L00000012440-CCD1_5_crop11.jpg,train,miss,,MS,"[28.5, 267.5, 83.5, 363.9]",candidate,模型以置信度 0.4633 检出 MS 目标但无标注，疑似漏标
01-PAN-20250328-462-374-L00000101101-CCD21_5_crop11.jpg,train,miss,,MS,"[0.0, 221.4, 16.9, 334.5]",candidate,模型以置信度 0.4628 检出 MS 目标但无标注，疑似漏标
MAR20_438.jpg,train,miss,,FSC,"[111.9, 577.7, 129.2, 605.6]",candidate,模型以置信度 0.4528 检出 FSC 目标但无标注，疑似漏标
01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.jpg,train,miss,,MS,"[35.9, 642.4, 60.5, 732.4]",candidate,模型以置信度 0.4376 检出 MS 目标但无标注，疑似漏标
01-PAN-20250406-463-326-L00000099680-CCD14_2_crop1.jpg,train,miss,,MS,"[695.9, 360.4, 828.4, 466.1]",candidate,模型以置信度 0.4354 检出 MS 目标但无标注，疑似漏标
E120.2_N14.7_20161023_L1A0001910573-PAN19_crop1.jpg,train,miss,,MS,"[670.2, 373.6, 890.8, 541.5]",candidate,模型以置信度 0.4271 检出 MS 目标但无标注，疑似漏标
02-PAN-20250405-013-430-L00000001339-CCD20_3_crop1.jpg,train,miss,,MS,"[405.4, 3.3, 670.4, 568.3]",candidate,模型以置信度 0.4198 检出 MS 目标但无标注，疑似漏标
E139.6_N35.4_20180420_L1A0003133739-PAN15_crop5.jpg,train,miss,,MS,"[94.2, 0.0, 129.6, 24.0]",candidate,模型以置信度 0.4193 检出 MS 目标但无标注，疑似漏标
E139.7_N35.2_20150922_L1A0001053752-PAN23_crop5.jpg,train,mislabel,MS,QHS,"[691.1, 124.4, 813.0, 184.2]",candidate,标注为 MS，模型预测 QHS（置信度 0.4084），疑似错标
E139.7_N35.3_20170121_L1A0002135991-PAN13_crop4.jpg,train,miss,,MS,"[625.3, 712.5, 688.6, 785.6]",candidate,模型以置信度 0.3936 检出 MS 目标但无标注，疑似漏标
01-PAN-20250328-462-374-L00000101101-CCD20_6_crop9.jpg,train,miss,,MS,"[734.2, 45.1, 802.0, 286.2]",candidate,模型以置信度 0.3879 检出 MS 目标但无标注，疑似漏标
E139.7_N35.3_20170121_L1A0002135991-PAN10_crop1.jpg,train,miss,,MS,"[341.3, 0.0, 487.8, 32.1]",candidate,模型以置信度 0.3853 检出 MS 目标但无标注，疑似漏标
02-PAN-20250405-013-428-L00000001337-CCD29_1_crop9.jpg,train,miss,,MS,"[0.0, 0.0, 13.6, 61.5]",candidate,模型以置信度 0.3783 检出 MS 目标但无标注，疑似漏标
01-PAN-20250328-462-375-L00000101102-CCD21_1_crop1.jpg,train,miss,,MS,"[554.8, 274.2, 641.4, 367.7]",candidate,模型以置信度 0.3712 检出 MS 目标但无标注，疑似漏标
