image,split,problem_type,annotated_class,suggested_class,box,confidence,evidence
02-PAN-20250405-013-430-L00000001339-CCD26_4_crop3.jpg,train,mislabel,LQS,HM,"[455.0, 239.0, 527.0, 524.0]",high,可见尺度明显更大的全通飞行甲板和复杂舰岛/跑道式标线，更符合 HM 航母。
W117.1_N32.6_20180715_L1A0003325477-PAN26_crop1.jpg,train,mislabel,LQS,MS,"[142.0, 375.0, 440.0, 530.0]",high,可见货运甲板/装卸结构和集中上层建筑，未见全通甲板或军舰装备，符合 MS 民船。
W117.1_N32.6_20180715_L1A0003325477-PAN26_crop1.jpg,train,mislabel,LQS,MS,"[218.0, 660.0, 512.0, 789.0]",high,与 SHIP-09 同源同目标，甲板呈货运布局而非两栖舰连续飞行甲板，符合 MS 民船。
W117.1_N32.6_20180715_L1A0003325477-PAN28_crop1.jpg,train,mislabel,LQS,MS,"[107.0, 442.0, 391.0, 578.0]",high,同源目标具有货舱/装卸结构，无直升机甲板或军舰武器特征，符合 MS 民船。
E128.0_N26.3_20180531_L1A0003228719-PAN20_crop1.jpg,train,mislabel,QHS,MS,"[306.0, 366.0, 374.0, 566.0]",high,可见民用作业/货运船式甲板和上层结构，未见军舰装备，符合 MS 民船。
02-PAN-20250321-455-304-L00000000227-CCD7_2_crop2.jpg,train,mislabel,QHS,MS,"[643.0, 659.0, 730.0, 855.0]",high,可见民用工程/作业船式甲板布局，无明确雷达或武器特征，符合 MS 民船。
fsc_AGZ-N42.80-E141.65-lv20-Google_crop0001.jpg,train,miss,,FSC,"[274.9, 831.0, 323.6, 883.2]",high,原图为成组部署的军用车辆场地，候选为独立的长车体且与现有框不重叠，符合未标注发射车。
fsc_TG-N24.21-E120.59-lv20-Google_crop0001.jpg,train,miss,,FSC,"[865.8, 544.9, 899.8, 585.4]",high,原图林地道路中存在与周边独立部署车辆一致的长车体，符合未标注的军用发射车辆。
fsc_AGZ-N42.80-E141.65-lv20-Google_crop0001.jpg,train,miss,,FSC,"[58.4, 386.7, 103.6, 432.2]",high,与 FSC-03 同源军用车辆部署区，候选为另一独立车体且不与既有标注重叠。
MAR20_3662.jpg,val,miss,,KC-135,"[173.6, 160.3, 295.4, 278.4]",high,大型四发喷气式飞机，外形与KC-135加油机高度吻合（翼下吊舱、T型尾翼、机身细长），模型置信度0.94，无对应标注
E103.9_N1.2_20200419_L1A0004749016-PAN26_crop6.jpg,val,miss,,MS,"[440.0, 577.3, 553.4, 636.2]",high,民用船舶（上层建筑集中尾部、无武装），模型置信度0.90，无对应标注
W76.3_N37.0_20150318_L1A0000704021-PAN20_crop1.jpg,val,mislabel,QHS,MS,"[133.2, 475.8, 287.9, 752.5]",high,标注为驱护舰，实为散货/驳船类民船（矩形舱口网格、无武器、船首钝圆），模型置信度0.95
